NOC,Medal
AFG,2
AHO,1
ALB,0
ALG,15
AND,0
ANG,0
ANT,0
ANZ,29
ARG,252
ARM,12
ARU,0
ASA,0
AUS,1222
AUT,168
AZE,26
BAH,34
BAN,0
BAR,1
BDI,1
BEL,434
BEN,0
BER,1
BHU,0
BIH,0
BIZ,0
BLR,112
BOH,12
BOL,0
BOT,1
BRA,425
BRN,1
BRU,0
BUL,329
BUR,0
CAF,0
CAM,0
CAN,672
CAY,0
CGO,0
CHA,0
CHI,32
CHN,796
CIV,1
CMR,22
COD,0
COK,0
COL,20
COM,0
CPV,0
CRC,4
CRO,114
CRT,0
CUB,398
CYP,1
CZE,56
DEN,551
DJI,1
DMA,0
DOM,6
ECU,2
EGY,24
ERI,1
ESA,0
ESP,442
EST,39
ETH,45
EUN,220
FIJ,0
FIN,473
FRA,1531
FRG,504
FSM,0
GAB,1
GAM,0
GBR,1840
GBS,0
GDR,843
GEO,25
GEQ,0
GER,1620
GHA,23
GRE,248
GRN,1
GUA,1
GUI,0
GUM,0
GUY,1
HAI,7
HKG,4
HON,0
HUN,1101
INA,37
IND,188
IOA,3
IRI,60
IRL,32
IRQ,1
ISL,17
ISR,7
ISV,1
ITA,1374
IVB,0
JAM,127
JOR,0
JPN,786
KAZ,52
KEN,93
KGZ,3
KIR,0
KOR,526
KSA,6
KUW,2
LAO,0
LAT,20
LBA,0
LBR,0
LCA,0
LES,0
LIB,4
LIE,0
LTU,54
LUX,6
MAD,0
MAL,0
MAR,22
MAS,8
MAW,0
MDA,8
MDV,0
MEX,105
MGL,24
MHL,0
MKD,1
MLI,0
MLT,0
MNE,14
MON,1
MOZ,2
MRI,1
MTN,0
MYA,0
NAM,4
NBO,0
NCA,0
NED,871
NEP,0
NFL,0
NGR,81
NIG,1
NOR,571
NRU,0
NZL,191
OMA,0
PAK,121
PAN,3
PAR,17
PER,15
PHI,9
PLE,0
PLW,0
PNG,0
POL,522
POR,40
PRK,58
PUR,8
QAT,4
RHO,0
ROU,635
RSA,108
RUS,790
RWA,0
SAA,0
SAM,0
SCG,64
SEN,1
SEY,0
SGP,8
SKN,0
SLE,0
SLO,26
SMR,0
SOL,0
SOM,0
SRB,31
SRI,2
STP,0
SUD,1
SUI,405
SUR,2
SVK,34
SWE,1080
SWZ,0
SYR,3
TAN,2
TCH,330
TGA,1
THA,24
TJK,3
TKM,0
TLS,0
TOG,1
TPE,44
TTO,31
TUN,10
TUR,87
TUV,0
UAE,1
UAR,2
UGA,7
UKR,173
UNK,0
URS,2063
URU,63
USA,4738
UZB,20
VAN,0
VEN,12
VIE,2
VIN,0
VNM,0
WIF,5
YAR,0
YEM,0
YMD,0
YUG,383
ZAM,2
ZIM,22
