NOC,Medal
AFG,1
AHO,1
ALB,0
ALG,14
AND,0
ANG,0
ANT,0
ANZ,29
ARG,233
ARM,9
ARU,0
ASA,0
AUS,1108
AUT,168
AZE,16
BAH,30
BAN,0
BAR,1
BDI,1
BEL,431
BEN,0
BER,1
BHU,0
BIH,0
BIZ,0
BLR,89
BOH,12
BOL,0
BOT,0
BRA,366
BRN,0
BRU,0
BUL,327
BUR,0
CAF,0
CAM,0
CAN,617
CAY,0
CGO,0
CHA,0
CHI,32
CHN,671
CIV,1
CMR,22
COD,0
COK,0
COL,12
COM,0
CPV,0
CRC,4
CRO,79
CRT,0
CUB,384
CYP,0
CZE,42
DEN,535
DJI,1
DMA,0
DOM,4
ECU,2
EGY,22
ERI,1
ESA,0
ESP,379
EST,37
ETH,38
EUN,220
FIJ,0
FIN,468
FRA,1449
FRG,504
FSM,0
GAB,0
GAM,0
GBR,1714
GBS,0
GDR,843
GEO,18
GEQ,0
GER,1526
GHA,23
GRE,245
GRN,0
GUA,0
GUI,0
GUM,0
GUY,1
HAI,7
HKG,3
HON,0
HUN,1075
INA,35
IND,182
IOA,3
IRI,48
IRL,27
IRQ,1
ISL,17
ISR,7
ISV,1
ITA,1306
IVB,0
JAM,102
JOR,0
JPN,702
KAZ,39
KEN,82
KGZ,3
KIR,0
KOR,465
KSA,2
KUW,1
LAO,0
LAT,17
LBA,0
LBR,0
LCA,0
LES,0
LIB,4
LIE,0
LTU,49
LUX,6
MAD,0
MAL,0
MAR,21
MAS,6
MAW,0
MDA,6
MDV,0
MEX,81
MGL,19
MHL,0
MKD,1
MLI,0
MLT,0
MNE,0
MON,1
MOZ,2
MRI,1
MTN,0
MYA,0
NAM,4
NBO,0
NCA,0
NED,802
NEP,0
NFL,0
NGR,81
NIG,1
NOR,554
NRU,0
NZL,164
OMA,0
PAK,121
PAN,3
PAR,17
PER,15
PHI,9
PLE,0
PLW,0
PNG,0
POL,510
POR,38
PRK,52
PUR,6
QAT,2
RHO,0
ROU,619
RSA,99
RUS,650
RWA,0
SAA,0
SAM,0
SCG,64
SEN,1
SEY,0
SGP,4
SKN,0
SLE,0
SLO,21
SMR,0
SOL,0
SOM,0
SRB,15
SRI,2
STP,0
SUD,1
SUI,401
SUR,2
SVK,29
SWE,1058
SWZ,0
SYR,3
TAN,2
TCH,330
TGA,1
THA,21
TJK,2
TKM,0
TLS,0
TOG,1
TPE,42
TTO,21
TUN,7
TUR,82
TUV,0
UAE,1
UAR,2
UGA,6
UKR,147
UNK,0
URS,2063
URU,63
USA,4490
UZB,17
VAN,0
VEN,11
VIE,2
VIN,0
VNM,0
WIF,5
YAR,0
YEM,0
YMD,0
YUG,383
ZAM,2
ZIM,22
